"Source:","C:\Users\emc147\OneDrive - University of Canterbury\CSSE Work\Maaratech\Camera Bar\Flash\PCBs\19v Precharge Cap Board\Cap Precharge Board\Cap Precharge Board.sch"
"Date:","20/04/2023 3:45:40 pm"
"Tool:","Eeschema (5.1.9)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","14"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, ","1","10uF SMD 1206","C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Unpolarized capacitor",""
"C2, ","1","1uF SMD 1206","C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Unpolarized capacitor",""
"C3, C4, ","2","UVR1E103MRD","UVR1E103MRD","Capacitor_THT:CP_Radial_D22.0mm_P10.00mm_SnapIn","10000uF 25 V Aluminum Electrolytic Capacitors Radial, Can 2000 Hrs @ 85°C",""
"J1, ","1","MR30","Conn_01x03","Cap Precharge Board:MR30","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J2, ","1","XT30","Conn_01x02","Cap Precharge Board:XT30","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"Q1, ","1","SI4143DY","SI4143DY","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","MOSFET P-CHANNEL 30V 25.3A 8SO",""
"Q2, ","1","MCU80N03-TP","MCU80N03-TP","Package_TO_SOT_SMD:TO-252-2","MOSFET N-CH 30V 80A DPAK",""
"R1, ","1","56kOhm SMD 1206","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor",""
"R2, ","1","69.8kOhm SMD 1206","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor",""
"R3, R4, R5, ","3","1kOhm SMD 1206","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor",""
"R6, ","1","23Ohm SMD 1206","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor",""
